,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
α[74],5.186,0.044,5.105,5.269,0.0,0.0,8631.0,2548.0,1.0
β[0],0.015,0.0,0.015,0.015,0.0,0.0,9011.0,2659.0,1.0
β[1],0.01,0.0,0.009,0.01,0.0,0.0,8534.0,2788.0,1.0
β[2],0.009,0.0,0.009,0.01,0.0,0.0,8032.0,3242.0,1.0
β[3],0.017,0.0,0.017,0.018,0.0,0.0,8978.0,2754.0,1.0
β[4],0.012,0.0,0.011,0.012,0.0,0.0,7897.0,3036.0,1.0
β[5],0.004,0.0,0.004,0.005,0.0,0.0,8330.0,2973.0,1.0
β[6],0.012,0.0,0.012,0.012,0.0,0.0,8644.0,2993.0,1.0
β[7],0.01,0.0,0.01,0.011,0.0,0.0,8884.0,2923.0,1.0
β[8],0.01,0.0,0.01,0.01,0.0,0.0,7420.0,3247.0,1.0
β[9],0.014,0.0,0.014,0.014,0.0,0.0,8304.0,2786.0,1.0
β[10],0.013,0.0,0.013,0.014,0.0,0.0,9079.0,2880.0,1.0
β[11],0.017,0.0,0.016,0.017,0.0,0.0,10115.0,3024.0,1.0
β[12],0.01,0.0,0.009,0.01,0.0,0.0,8608.0,2575.0,1.0
β[13],0.01,0.0,0.009,0.011,0.0,0.0,8717.0,3041.0,1.0
β[14],0.016,0.0,0.015,0.017,0.0,0.0,9362.0,3236.0,1.0
β[15],0.016,0.0,0.016,0.017,0.0,0.0,9209.0,2859.0,1.0
β[16],0.016,0.0,0.016,0.017,0.0,0.0,8834.0,3037.0,1.0
β[17],0.014,0.0,0.013,0.014,0.0,0.0,8611.0,3002.0,1.0
β[18],0.017,0.0,0.017,0.017,0.0,0.0,8313.0,2955.0,1.0
β[19],0.011,0.0,0.011,0.011,0.0,0.0,7875.0,3145.0,1.0
β[20],0.01,0.0,0.01,0.011,0.0,0.0,7505.0,2968.0,1.0
β[21],0.009,0.0,0.008,0.009,0.0,0.0,8864.0,2932.0,1.0
β[22],0.009,0.0,0.009,0.01,0.0,0.0,9364.0,3316.0,1.0
β[23],0.013,0.0,0.013,0.013,0.0,0.0,8326.0,3139.0,1.0
β[24],0.009,0.0,0.009,0.009,0.0,0.0,8388.0,2665.0,1.0
β[25],0.011,0.0,0.011,0.012,0.0,0.0,8592.0,2776.0,1.0
β[26],0.01,0.0,0.01,0.01,0.0,0.0,9426.0,2670.0,1.0
β[27],0.015,0.0,0.015,0.015,0.0,0.0,7265.0,2310.0,1.0
β[28],0.018,0.0,0.018,0.019,0.0,0.0,7370.0,2886.0,1.0
β[29],0.017,0.0,0.016,0.018,0.0,0.0,7463.0,3213.0,1.0
β[30],0.015,0.0,0.014,0.015,0.0,0.0,8618.0,2922.0,1.0
β[31],0.009,0.0,0.009,0.009,0.0,0.0,7702.0,3071.0,1.0
β[32],0.016,0.0,0.015,0.016,0.0,0.0,7660.0,2078.0,1.0
β[33],0.009,0.0,0.008,0.009,0.0,0.0,9357.0,3217.0,1.0
β[34],0.012,0.0,0.012,0.013,0.0,0.0,8777.0,2925.0,1.0
β[35],0.01,0.0,0.009,0.01,0.0,0.0,9813.0,2955.0,1.01
β[36],0.012,0.0,0.012,0.012,0.0,0.0,9556.0,3041.0,1.0
β[37],0.023,0.0,0.022,0.023,0.0,0.0,8298.0,3039.0,1.0
β[38],0.011,0.0,0.01,0.011,0.0,0.0,8095.0,3009.0,1.0
β[39],0.016,0.0,0.015,0.016,0.0,0.0,8167.0,2972.0,1.0
β[40],0.019,0.0,0.019,0.02,0.0,0.0,7514.0,3229.0,1.0
β[41],0.017,0.0,0.017,0.018,0.0,0.0,6643.0,2877.0,1.0
β[42],0.009,0.0,0.009,0.009,0.0,0.0,9618.0,2814.0,1.0
β[43],0.013,0.0,0.013,0.013,0.0,0.0,8037.0,2823.0,1.0
β[44],0.013,0.0,0.013,0.013,0.0,0.0,8028.0,2911.0,1.0
β[45],0.013,0.0,0.012,0.014,0.0,0.0,7983.0,2608.0,1.0
β[46],0.012,0.0,0.012,0.013,0.0,0.0,8967.0,3115.0,1.0
β[47],0.015,0.0,0.014,0.016,0.0,0.0,8867.0,3129.0,1.0
β[48],0.012,0.0,0.012,0.012,0.0,0.0,8082.0,2549.0,1.0
β[49],0.013,0.0,0.013,0.014,0.0,0.0,9490.0,3084.0,1.0
β[50],0.008,0.0,0.008,0.008,0.0,0.0,7255.0,3000.0,1.0
β[51],0.01,0.0,0.009,0.01,0.0,0.0,8594.0,3240.0,1.0
β[52],0.012,0.0,0.011,0.012,0.0,0.0,6771.0,2602.0,1.0
β[53],0.011,0.0,0.01,0.012,0.0,0.0,8527.0,2608.0,1.0
β[54],0.013,0.0,0.013,0.014,0.0,0.0,6628.0,2698.0,1.0
β[55],0.017,0.0,0.016,0.017,0.0,0.0,7633.0,2702.0,1.0
β[56],0.011,0.0,0.011,0.012,0.0,0.0,9607.0,3156.0,1.0
β[57],0.007,0.0,0.007,0.008,0.0,0.0,8988.0,2716.0,1.0
β[58],0.014,0.0,0.013,0.014,0.0,0.0,8319.0,2657.0,1.0
β[59],0.012,0.0,0.011,0.012,0.0,0.0,8316.0,2698.0,1.0
β[60],0.008,0.0,0.007,0.008,0.0,0.0,9228.0,2824.0,1.0
β[61],0.014,0.0,0.014,0.014,0.0,0.0,9066.0,2962.0,1.0
β[62],0.005,0.0,0.004,0.005,0.0,0.0,9193.0,3038.0,1.0
β[63],0.019,0.0,0.018,0.019,0.0,0.0,8404.0,2841.0,1.0
β[64],0.017,0.0,0.016,0.017,0.0,0.0,8419.0,2938.0,1.0
β[65],0.014,0.0,0.013,0.015,0.0,0.0,9027.0,2822.0,1.0
β[66],0.009,0.0,0.009,0.009,0.0,0.0,8621.0,2870.0,1.0
β[67],0.011,0.0,0.011,0.011,0.0,0.0,8078.0,2916.0,1.0
β[68],0.01,0.0,0.01,0.011,0.0,0.0,7492.0,2549.0,1.0
β[69],0.008,0.0,0.008,0.009,0.0,0.0,8497.0,2971.0,1.0
β[70],0.012,0.0,0.011,0.012,0.0,0.0,8792.0,3180.0,1.0
β[71],0.01,0.0,0.01,0.011,0.0,0.0,9851.0,3130.0,1.0
β[72],0.011,0.0,0.011,0.012,0.0,0.0,8171.0,2759.0,1.0
β[73],0.011,0.0,0.01,0.011,0.0,0.0,8874.0,2967.0,1.0
β[74],0.016,0.0,0.016,0.017,0.0,0.0,8396.0,2902.0,1.0
σ[0],0.427,0.014,0.4,0.454,0.0,0.0,10421.0,2940.0,1.0
σ[1],0.629,0.022,0.588,0.669,0.0,0.0,7491.0,2510.0,1.0
σ[2],0.312,0.011,0.292,0.333,0.0,0.0,9702.0,2838.0,1.0
σ[3],1.014,0.034,0.955,1.081,0.0,0.0,8765.0,2404.0,1.0
σ[4],0.753,0.026,0.703,0.802,0.0,0.0,9042.0,2639.0,1.0
σ[5],0.349,0.012,0.327,0.372,0.0,0.0,11917.0,2650.0,1.0
σ[6],0.397,0.014,0.372,0.423,0.0,0.0,9497.0,2130.0,1.0
σ[7],0.732,0.026,0.684,0.78,0.0,0.0,10836.0,2632.0,1.0
σ[8],0.397,0.014,0.373,0.422,0.0,0.0,11174.0,2483.0,1.0
σ[9],0.528,0.018,0.494,0.563,0.0,0.0,8681.0,2663.0,1.0
σ[10],1.048,0.037,0.98,1.119,0.0,0.0,7798.0,2792.0,1.0
σ[11],0.492,0.017,0.462,0.524,0.0,0.0,11427.0,2565.0,1.0
σ[12],0.381,0.013,0.357,0.405,0.0,0.0,8542.0,2942.0,1.0
σ[13],0.87,0.03,0.816,0.925,0.0,0.0,10869.0,2658.0,1.0
σ[14],1.039,0.035,0.979,1.106,0.0,0.0,8230.0,2858.0,1.0
σ[15],0.883,0.031,0.827,0.941,0.0,0.0,11608.0,2346.0,1.0
σ[16],0.5,0.017,0.469,0.533,0.0,0.0,10521.0,3079.0,1.0
σ[17],0.408,0.014,0.382,0.433,0.0,0.0,9561.0,2834.0,1.0
σ[18],0.528,0.019,0.492,0.562,0.0,0.0,7595.0,2706.0,1.0
σ[19],0.311,0.011,0.291,0.331,0.0,0.0,11679.0,2571.0,1.0
σ[20],0.699,0.024,0.655,0.743,0.0,0.0,7193.0,2568.0,1.0
σ[21],0.558,0.019,0.522,0.595,0.0,0.0,8770.0,2525.0,1.0
σ[22],0.839,0.029,0.783,0.894,0.0,0.0,9143.0,2790.0,1.0
σ[23],0.428,0.014,0.402,0.455,0.0,0.0,7988.0,2978.0,1.0
σ[24],0.248,0.009,0.231,0.263,0.0,0.0,8585.0,2606.0,1.01
σ[25],0.345,0.012,0.322,0.368,0.0,0.0,10051.0,2832.0,1.0
σ[26],0.295,0.01,0.276,0.313,0.0,0.0,10293.0,2643.0,1.0
σ[27],0.37,0.012,0.348,0.393,0.0,0.0,10150.0,3234.0,1.0
σ[28],0.577,0.02,0.54,0.614,0.0,0.0,8395.0,2465.0,1.0
σ[29],1.237,0.043,1.16,1.318,0.0,0.0,11329.0,2820.0,1.0
σ[30],0.632,0.021,0.593,0.67,0.0,0.0,9021.0,2748.0,1.0
σ[31],0.213,0.007,0.2,0.227,0.0,0.0,10496.0,2598.0,1.0
σ[32],1.058,0.037,0.987,1.125,0.0,0.0,8993.0,2865.0,1.0
σ[33],0.353,0.012,0.331,0.375,0.0,0.0,9786.0,2486.0,1.0
σ[34],0.476,0.016,0.446,0.506,0.0,0.0,8725.0,2592.0,1.0
σ[35],0.331,0.011,0.311,0.352,0.0,0.0,8268.0,2341.0,1.0
σ[36],0.335,0.012,0.314,0.357,0.0,0.0,9753.0,2798.0,1.0
σ[37],0.793,0.027,0.743,0.845,0.0,0.0,9981.0,2642.0,1.0
σ[38],0.92,0.032,0.859,0.977,0.0,0.0,11016.0,2827.0,1.0
σ[39],0.528,0.018,0.496,0.563,0.0,0.0,9070.0,2332.0,1.0
σ[40],0.566,0.019,0.533,0.604,0.0,0.0,8938.0,2554.0,1.0
σ[41],0.604,0.021,0.565,0.641,0.0,0.0,9340.0,2782.0,1.0
σ[42],0.285,0.01,0.267,0.304,0.0,0.0,9531.0,2785.0,1.0
σ[43],0.398,0.014,0.372,0.425,0.0,0.0,7952.0,2318.0,1.0
σ[44],0.309,0.011,0.289,0.329,0.0,0.0,9616.0,2675.0,1.0
σ[45],0.99,0.034,0.93,1.056,0.0,0.0,9475.0,2561.0,1.0
σ[46],0.63,0.022,0.59,0.669,0.0,0.0,8872.0,2590.0,1.0
σ[47],0.749,0.026,0.698,0.793,0.0,0.0,7954.0,2633.0,1.0
σ[48],0.35,0.012,0.328,0.373,0.0,0.0,8566.0,2444.0,1.0
σ[49],0.492,0.016,0.461,0.523,0.0,0.0,9177.0,2879.0,1.0
σ[50],0.206,0.007,0.193,0.219,0.0,0.0,9707.0,2773.0,1.0
σ[51],0.838,0.029,0.786,0.894,0.0,0.0,11328.0,2712.0,1.0
σ[52],0.657,0.022,0.615,0.699,0.0,0.0,7964.0,2750.0,1.0
σ[53],1.015,0.035,0.949,1.08,0.0,0.0,11968.0,3062.0,1.0
