,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
α[72],9.08,0.064,8.96,9.196,0.001,0.0,9815.0,2450.0,1.01
α[73],11.349,0.035,11.284,11.415,0.0,0.0,7843.0,2731.0,1.0
α[74],5.226,0.045,5.142,5.311,0.0,0.0,8389.0,2820.0,1.0
β[0],0.015,0.0,0.015,0.015,0.0,0.0,9962.0,2787.0,1.0
β[1],0.01,0.0,0.009,0.01,0.0,0.0,7647.0,3244.0,1.0
β[2],0.01,0.0,0.009,0.01,0.0,0.0,9964.0,2760.0,1.0
β[3],0.017,0.0,0.017,0.018,0.0,0.0,10569.0,2695.0,1.0
β[4],0.012,0.0,0.011,0.012,0.0,0.0,9187.0,2787.0,1.0
β[5],0.004,0.0,0.004,0.005,0.0,0.0,8478.0,2624.0,1.0
β[6],0.012,0.0,0.012,0.012,0.0,0.0,8659.0,2975.0,1.0
β[7],0.01,0.0,0.01,0.011,0.0,0.0,8575.0,3148.0,1.0
β[8],0.01,0.0,0.01,0.01,0.0,0.0,8371.0,2749.0,1.0
β[9],0.014,0.0,0.014,0.014,0.0,0.0,8922.0,2695.0,1.0
β[10],0.013,0.0,0.013,0.014,0.0,0.0,7341.0,2808.0,1.0
β[11],0.017,0.0,0.016,0.017,0.0,0.0,11011.0,2499.0,1.0
β[12],0.01,0.0,0.009,0.01,0.0,0.0,7779.0,2821.0,1.0
β[13],0.01,0.0,0.009,0.011,0.0,0.0,9563.0,2756.0,1.0
β[14],0.016,0.0,0.015,0.017,0.0,0.0,8571.0,2745.0,1.0
β[15],0.016,0.0,0.016,0.017,0.0,0.0,8758.0,2917.0,1.0
β[16],0.016,0.0,0.016,0.017,0.0,0.0,9656.0,2925.0,1.0
β[17],0.014,0.0,0.013,0.014,0.0,0.0,8820.0,2556.0,1.0
β[18],0.017,0.0,0.017,0.017,0.0,0.0,8507.0,2800.0,1.0
β[19],0.011,0.0,0.011,0.011,0.0,0.0,8572.0,3074.0,1.0
β[20],0.01,0.0,0.01,0.011,0.0,0.0,7688.0,2888.0,1.0
β[21],0.009,0.0,0.009,0.01,0.0,0.0,7469.0,3010.0,1.0
β[22],0.009,0.0,0.009,0.01,0.0,0.0,8348.0,2650.0,1.0
β[23],0.013,0.0,0.013,0.013,0.0,0.0,9106.0,3121.0,1.0
β[24],0.009,0.0,0.009,0.009,0.0,0.0,8500.0,2967.0,1.0
β[25],0.011,0.0,0.011,0.011,0.0,0.0,8196.0,2758.0,1.0
β[26],0.01,0.0,0.01,0.01,0.0,0.0,8288.0,2861.0,1.0
β[27],0.015,0.0,0.015,0.015,0.0,0.0,7500.0,2948.0,1.0
β[28],0.018,0.0,0.018,0.019,0.0,0.0,7169.0,2819.0,1.0
β[29],0.017,0.001,0.016,0.018,0.0,0.0,9164.0,2851.0,1.0
β[30],0.015,0.0,0.014,0.015,0.0,0.0,8098.0,2952.0,1.0
β[31],0.009,0.0,0.009,0.009,0.0,0.0,9061.0,2965.0,1.0
β[32],0.016,0.0,0.015,0.016,0.0,0.0,8971.0,2839.0,1.0
β[33],0.009,0.0,0.008,0.009,0.0,0.0,7722.0,3074.0,1.0
β[34],0.012,0.0,0.012,0.013,0.0,0.0,7080.0,3042.0,1.0
β[35],0.01,0.0,0.009,0.01,0.0,0.0,9489.0,2213.0,1.0
β[36],0.012,0.0,0.012,0.012,0.0,0.0,9509.0,2963.0,1.0
β[37],0.022,0.0,0.022,0.023,0.0,0.0,6752.0,3251.0,1.0
β[38],0.011,0.0,0.01,0.011,0.0,0.0,9008.0,2716.0,1.0
β[39],0.016,0.0,0.015,0.016,0.0,0.0,6721.0,3119.0,1.0
β[40],0.019,0.0,0.019,0.02,0.0,0.0,7745.0,3032.0,1.0
β[41],0.017,0.0,0.017,0.018,0.0,0.0,9401.0,3077.0,1.0
β[42],0.009,0.0,0.009,0.009,0.0,0.0,8526.0,3289.0,1.0
β[43],0.013,0.0,0.013,0.013,0.0,0.0,9512.0,2626.0,1.0
β[44],0.013,0.0,0.013,0.013,0.0,0.0,8431.0,3284.0,1.0
β[45],0.013,0.0,0.013,0.014,0.0,0.0,8904.0,3214.0,1.0
β[46],0.012,0.0,0.012,0.013,0.0,0.0,8619.0,3095.0,1.0
β[47],0.015,0.0,0.014,0.015,0.0,0.0,8071.0,2773.0,1.0
β[48],0.012,0.0,0.012,0.012,0.0,0.0,8138.0,3299.0,1.0
β[49],0.013,0.0,0.013,0.014,0.0,0.0,6876.0,2913.0,1.0
β[50],0.008,0.0,0.008,0.008,0.0,0.0,8713.0,3078.0,1.0
β[51],0.01,0.0,0.009,0.01,0.0,0.0,7228.0,2732.0,1.0
β[52],0.012,0.0,0.011,0.012,0.0,0.0,9670.0,2634.0,1.0
β[53],0.011,0.0,0.01,0.012,0.0,0.0,7475.0,3304.0,1.0
β[54],0.013,0.0,0.012,0.014,0.0,0.0,9382.0,2797.0,1.0
β[55],0.017,0.0,0.016,0.017,0.0,0.0,9760.0,3397.0,1.0
β[56],0.011,0.0,0.011,0.012,0.0,0.0,9606.0,2964.0,1.0
β[57],0.007,0.0,0.007,0.008,0.0,0.0,9226.0,2856.0,1.0
β[58],0.014,0.0,0.013,0.014,0.0,0.0,10898.0,3089.0,1.0
β[59],0.012,0.0,0.011,0.012,0.0,0.0,8555.0,2470.0,1.0
β[60],0.008,0.0,0.007,0.009,0.0,0.0,7180.0,2546.0,1.0
β[61],0.014,0.0,0.014,0.014,0.0,0.0,6910.0,2586.0,1.0
β[62],0.005,0.0,0.004,0.005,0.0,0.0,6817.0,2953.0,1.0
β[63],0.019,0.0,0.018,0.019,0.0,0.0,7761.0,3137.0,1.0
β[64],0.017,0.0,0.016,0.017,0.0,0.0,8854.0,2934.0,1.0
β[65],0.014,0.0,0.013,0.015,0.0,0.0,8607.0,2954.0,1.0
β[66],0.009,0.0,0.009,0.009,0.0,0.0,7200.0,2844.0,1.0
β[67],0.011,0.0,0.011,0.011,0.0,0.0,9114.0,2764.0,1.0
β[68],0.01,0.0,0.01,0.011,0.0,0.0,7918.0,2667.0,1.0
β[69],0.008,0.0,0.008,0.009,0.0,0.0,8839.0,2674.0,1.0
β[70],0.011,0.0,0.011,0.011,0.0,0.0,6886.0,2992.0,1.0
β[71],0.01,0.0,0.01,0.011,0.0,0.0,8257.0,2664.0,1.0
β[72],0.011,0.0,0.011,0.012,0.0,0.0,9183.0,3054.0,1.0
β[73],0.011,0.0,0.01,0.011,0.0,0.0,8519.0,2837.0,1.0
β[74],0.016,0.0,0.016,0.017,0.0,0.0,9238.0,2810.0,1.0
α_σ,1.882,0.161,1.595,2.191,0.002,0.001,8746.0,2647.0,1.0
β_σ,0.003,0.0,0.003,0.004,0.0,0.0,9403.0,2553.0,1.0
σ[0],0.427,0.014,0.401,0.453,0.0,0.0,8165.0,3102.0,1.0
σ[1],0.628,0.022,0.588,0.669,0.0,0.0,9739.0,2705.0,1.0
σ[2],0.33,0.011,0.309,0.351,0.0,0.0,8787.0,2524.0,1.0
σ[3],1.015,0.034,0.948,1.076,0.0,0.0,8794.0,2436.0,1.0
σ[4],0.752,0.027,0.703,0.803,0.0,0.0,11744.0,2600.0,1.0
σ[5],0.347,0.012,0.325,0.37,0.0,0.0,8695.0,2685.0,1.0
σ[6],0.397,0.014,0.372,0.422,0.0,0.0,8598.0,2684.0,1.0
σ[7],0.755,0.026,0.709,0.805,0.0,0.0,8978.0,2695.0,1.01
σ[8],0.396,0.014,0.37,0.423,0.0,0.0,11000.0,2310.0,1.0
σ[9],0.528,0.018,0.495,0.563,0.0,0.0,10089.0,2798.0,1.0
