,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
μ[70],13.385,0.089,13.218,13.542,0.002,0.001,2044.0,2216.0,1.0
μ[71],13.399,0.089,13.232,13.555,0.002,0.001,2047.0,2203.0,1.0
μ[72],13.412,0.088,13.246,13.568,0.002,0.001,2052.0,2203.0,1.0
μ[73],13.426,0.088,13.26,13.581,0.002,0.001,2055.0,2216.0,1.0
μ[74],13.439,0.088,13.274,13.594,0.002,0.001,2058.0,2203.0,1.0
μ[75],13.453,0.087,13.288,13.607,0.002,0.001,2063.0,2227.0,1.0
μ[76],13.466,0.087,13.302,13.62,0.002,0.001,2067.0,2227.0,1.0
μ[77],13.48,0.087,13.318,13.634,0.002,0.001,2071.0,2229.0,1.0
μ[78],13.493,0.087,13.335,13.65,0.002,0.001,2075.0,2186.0,1.0
μ[79],13.507,0.086,13.348,13.663,0.002,0.001,2079.0,2198.0,1.0
μ[80],13.52,0.086,13.363,13.676,0.002,0.001,2083.0,2195.0,1.0
μ[81],13.534,0.086,13.377,13.689,0.002,0.001,2087.0,2260.0,1.0
μ[82],13.547,0.085,13.391,13.702,0.002,0.001,2091.0,2260.0,1.0
μ[83],13.561,0.085,13.405,13.715,0.002,0.001,2095.0,2260.0,1.0
μ[84],13.574,0.085,13.419,13.729,0.002,0.001,2099.0,2260.0,1.0
μ[85],13.588,0.084,13.432,13.741,0.002,0.001,2104.0,2260.0,1.0
μ[86],13.601,0.084,13.445,13.752,0.002,0.001,2109.0,2280.0,1.0
μ[87],13.615,0.084,13.459,13.765,0.002,0.001,2115.0,2280.0,1.0
μ[88],13.628,0.083,13.474,13.779,0.002,0.001,2119.0,2270.0,1.0
μ[89],13.642,0.083,13.489,13.792,0.002,0.001,2124.0,2306.0,1.0
μ[90],13.655,0.083,13.503,13.805,0.002,0.001,2129.0,2306.0,1.0
μ[91],13.669,0.082,13.516,13.818,0.002,0.001,2134.0,2307.0,1.0
μ[92],13.683,0.082,13.532,13.833,0.002,0.001,2139.0,2307.0,1.0
μ[93],13.696,0.082,13.546,13.845,0.002,0.001,2144.0,2307.0,1.0
μ[94],13.71,0.081,13.561,13.859,0.002,0.001,2150.0,2336.0,1.0
μ[95],13.723,0.081,13.574,13.871,0.002,0.001,2155.0,2336.0,1.0
μ[96],13.737,0.081,13.588,13.884,0.002,0.001,2161.0,2393.0,1.0
μ[97],13.75,0.081,13.604,13.899,0.002,0.001,2166.0,2394.0,1.0
μ[98],13.764,0.08,13.618,13.912,0.002,0.001,2171.0,2394.0,1.0
μ[99],13.777,0.08,13.632,13.925,0.002,0.001,2176.0,2394.0,1.0
μ[100],13.791,0.08,13.646,13.938,0.002,0.001,2181.0,2456.0,1.0
μ[101],13.804,0.079,13.661,13.952,0.002,0.001,2189.0,2441.0,1.0
μ[102],13.818,0.079,13.675,13.965,0.002,0.001,2199.0,2409.0,1.0
μ[103],13.831,0.079,13.689,13.977,0.002,0.001,2204.0,2425.0,1.0
μ[104],13.845,0.078,13.695,13.983,0.002,0.001,2210.0,2425.0,1.0
μ[105],13.858,0.078,13.713,14.0,0.002,0.001,2217.0,2419.0,1.0
μ[106],13.872,0.078,13.727,14.013,0.002,0.001,2224.0,2441.0,1.0
μ[107],13.885,0.078,13.741,14.026,0.002,0.001,2231.0,2441.0,1.0
μ[108],13.899,0.077,13.755,14.039,0.002,0.001,2237.0,2441.0,1.0
μ[109],13.912,0.077,13.768,14.051,0.002,0.001,2244.0,2441.0,1.0
μ[110],13.926,0.077,13.782,14.064,0.002,0.001,2252.0,2489.0,1.0
μ[111],13.939,0.076,13.796,14.077,0.002,0.001,2258.0,2521.0,1.0
μ[112],13.953,0.076,13.809,14.089,0.002,0.001,2265.0,2522.0,1.0
μ[113],13.966,0.076,13.822,14.1,0.002,0.001,2272.0,2506.0,1.0
μ[114],13.98,0.076,13.836,14.113,0.002,0.001,2281.0,2473.0,1.0
μ[115],13.993,0.075,13.851,14.127,0.002,0.001,2289.0,2473.0,1.0
μ[116],14.007,0.075,13.865,14.139,0.002,0.001,2298.0,2473.0,1.0
μ[117],14.021,0.075,13.879,14.153,0.002,0.001,2306.0,2442.0,1.0
μ[118],14.034,0.074,13.893,14.166,0.002,0.001,2315.0,2457.0,1.0
μ[119],14.048,0.074,13.908,14.179,0.002,0.001,2322.0,2489.0,1.0
μ[120],14.061,0.074,13.922,14.193,0.002,0.001,2331.0,2489.0,1.0
μ[121],14.075,0.074,13.936,14.206,0.002,0.001,2339.0,2473.0,1.0
μ[122],14.088,0.073,13.95,14.22,0.002,0.001,2347.0,2539.0,1.0
μ[123],14.102,0.073,13.963,14.232,0.002,0.001,2355.0,2574.0,1.0
μ[124],14.115,0.073,13.977,14.246,0.001,0.001,2364.0,2557.0,1.0
μ[125],14.129,0.073,13.991,14.259,0.001,0.001,2374.0,2557.0,1.0
μ[126],14.142,0.072,14.005,14.272,0.001,0.001,2383.0,2557.0,1.0
μ[127],14.156,0.072,14.019,14.285,0.001,0.001,2393.0,2557.0,1.0
μ[128],14.169,0.072,14.036,14.301,0.001,0.001,2402.0,2557.0,1.0
